MAG,MG,Coverage
MAG00518,MG_0653RFLQV1,1418.0345
MAG00519,MG_0653RFLQV1,36.59362
MAG00521,MG_0665RFLQV1,113.77912
MAG00522,MG_0665RFLQV1,401.2207
MAG00523,MG_0665RFLQV1,101.73423
MAG00524,MG_0665RFLQV1,23.026571
MAG00526,MG_0671RFLQV1,806.66986
MAG00527,MG_0671RFLQV1,876.281
MAG00528,MG_0671RFLQV1,21.157467
MAG00529,MG_0671RFLQV1,36.466618
MAG00530,MG_0671RFLQV1,20.954819
MAG00531,MG_0671RFLQV1,174.97852
MAG00532,MG_0671RFLQV1,18.924746
MAG00533,MG_0671RFLQV1,138.41893
MAG00534,MG_0671RFLQV1,46.29298
MAG00535,MG_0671RFLQV1,22.249435
MAG00536,MG_0674RFLQV1,45.675793
MAG00537,MG_0674RFLQV1,35.66708
MAG00538,MG_0674RFLQV1,69.01618
MAG00539,MG_0674RFLQV1,422.37878
MAG00540,MG_0674RFLQV1,31.239876
MAG00541,MG_0674RFLQV1,628.83453
MAG00542,MG_0674RFLQV1,21.234074
MAG00543,MG_0687RFLQV1,257.81073
MAG00544,MG_0687RFLQV1,184.31287
MAG00545,MG_0698RFLQV1,288.95233
MAG00546,MG_0699RFLQV1,25.022627
MAG00547,MG_0699RFLQV1,52.422024
MAG00548,MG_0699RFLQV1,502.04938
MAG00549,MG_0699RFLQV1,27.618727
MAG00550,MG_0699RFLQV1,30.635502
MAG00551,MG_0733RFLQV1,33.623684
MAG00552,MG_0733RFLQV1,3259.6514
MAG00553,MG_0733RFLQV1,276.7096
MAG00554,MG_0733RFLQV1,249.7246
MAG00555,MG_0733RFLQV1,25.114033
MAG00556,MG_0733RFLQV1,14.277939
MAG00557,MG_0733RFLQV1,60.74556
MAG00558,MG_0733RFLQV1,976.826
MAG00559,MG_0733RFLQV1,10.761411
MAG00560,MG_0733RFLQV1,234.84341
MAG00561,MG_0733RFLQV1,88.644196
MAG00562,MG_0779RFLQV1,53.279945
MAG00563,MG_0779RFLQV1,135.89267
MAG00565,MG_0779RFLQV1,40.608303
MAG00566,MG_0779RFLQV1,1179.8502
MAG00567,MG_0779RFLQV1,158.72156
MAG00568,MG_0779RFLQV1,168.0593
MAG00569,MG_0779RFLQV1,307.50998
MAG00570,MG_0779RFLQV1,254.52159
MAG00571,MG_0779RFLQV1,256.4765
MAG00572,MG_0779RFLQV1,127.636925
MAG00574,MG_0779RFLQV1,590.93054
MAG00575,MG_0779RFLQV1,45.0113
MAG00576,MG_0787RFLQV1,250.74936
MAG00577,MG_0787RFLQV1,201.82904
MAG00578,MG_0787RFLQV1,3077.9854
MAG00579,MG_0787RFLQV1,1969.7258
MAG00581,MG_0787RFLQV1,21.800108
MAG00582,MG_0787RFLQV1,20.49701
MAG00583,MG_0787RFLQV1,172.73235
MAG00584,MG_0787RFLQV1,161.24593
MAG00585,MG_0787RFLQV1,85.54794
MAG00586,MG_0787RFLQV1,22.264751
MAG00588,MG_0787RFLQV1,57.88054
MAG00589,MG_0787RFLQV1,572.66846
MAG00590,MG_0801RFLQV1,246.67088
MAG00591,MG_0806RFLQV1,308.20984
MAG00592,MG_0806RFLQV1,153.95085
MAG00594,MG_0806RFLQV1,135.3996
MAG00596,MG_0808RFLQV1,11.514805
MAG00597,MG_0808RFLQV1,9.844145
MAG00598,MG_0808RFLQV1,14.850436
MAG00599,MG_0808RFLQV1,49.77375
MAG00600,MG_0808RFLQV1,64.44523
MAG00601,MG_0808RFLQV1,104.540924
MAG00602,MG_0808RFLQV1,108.92042
MAG00603,MG_0808RFLQV1,131.46533
MAG00604,MG_0808RFLQV1,939.48834
